gene,logFC,AveExpr,PValue,FDR,timepoint,cell_type
GZMK,-0.230917775,0.3719902375,0.584034543429015,0.905171259973511,1_month,CD16+ Monocyte
GZMA,0.207809075,0.9873409125,0.772180649846076,0.955334973242207,1_month,CD16+ Monocyte
HAVCR2,0.135084475,3.6588566875,0.520453995569789,0.89742303612525,1_month,CD16+ Monocyte
CCR6,0.5486256,0.68343505,0.422760556223862,0.873850396539914,1_month,CD16+ Monocyte
ITGB1,-0.14163675,5.224443875,0.314082499979625,0.867905545342464,1_month,CD16+ Monocyte
PRF1,0.356357225,0.9722700625,0.668809999252,0.921419936131482,1_month,CD16+ Monocyte
CXCR5,0.025296655,1.0057661275,0.970336675457691,0.995470850223243,1_month,CD16+ Monocyte
LAG3,0.274886205,0.2377105025,0.391262649201365,0.867905545342464,1_month,CD16+ Monocyte
GZMB,0.56560905,0.953672525,0.529291218350067,0.900837100301663,1_month,CD16+ Monocyte
CD40LG,0.1876167925,0.26093700375,0.655815938514592,0.91745261092348,1_month,CD16+ Monocyte
CXCR4,0.0262274250000001,7.3060980375,0.889938517121481,0.996111656532847,1_month,CD8+ T Cell
CTLA4,-0.28669585,2.38550305,0.12711059062549,0.990232396730102,1_month,CD8+ T Cell
PDCD1,-0.23212855,2.719625125,0.583231554750688,0.990232396730102,1_month,CD8+ T Cell
CCR4,-0.4576735125,1.50209201875,0.472756273027366,0.990232396730102,1_month,CD8+ T Cell
TIGIT,-0.0835162499999997,3.412767675,0.729091196676441,0.990232396730102,1_month,CD8+ T Cell
GZMK,-1.090870025,5.4684981625,0.264964737722584,0.990232396730102,1_month,CD8+ T Cell
GZMA,-0.6528662,5.901669525,0.246780850645743,0.990232396730102,1_month,CD8+ T Cell
HAVCR2,0.460571225,1.9626630875,0.225601236728649,0.990232396730102,1_month,CD8+ T Cell
CCR6,-0.1164514,3.00940675,0.866555866878805,0.994090912003497,1_month,CD8+ T Cell
ITGB1,0.000753050000000144,5.290684875,0.998241625952773,0.999872251655575,1_month,CD8+ T Cell
PRF1,-0.237618925000001,5.0974339875,0.639521770289912,0.990232396730102,1_month,CD8+ T Cell
CXCR5,-0.411134425,1.6958975375,0.283841405651754,0.990232396730102,1_month,CD8+ T Cell
LAG3,-0.317954775,4.1488637625,0.212514304628457,0.990232396730102,1_month,CD8+ T Cell
GZMB,0.0777005499999994,5.4797507,0.852573045426812,0.993602399032932,1_month,CD8+ T Cell
CD40LG,0.394834025000001,3.2283925375,0.334435910703614,0.990232396730102,1_month,CD8+ T Cell
CXCR4,0.291597775,6.3671513375,0.269725717142807,0.880252389143182,1_month,cDC2
CTLA4,-0.2532084,1.10794205,0.726878514572888,0.946527552729451,1_month,cDC2
PDCD1,-0.37602541,0.521842795,0.461369606752989,0.88412957060776,1_month,cDC2
CCR4,-0.0988885,0.04944425,0.391002218955771,0.880252389143182,1_month,cDC2
TIGIT,0.436522565,0.6991772075,0.578373002112822,0.903278556026896,1_month,cDC2
GZMK,0.598210975,0.6693046875,0.419316672540401,0.881940636327484,1_month,cDC2
GZMA,0.0969509500000001,0.66323935,0.874240876075452,0.97617134371289,1_month,cDC2
HAVCR2,-0.68724545,4.1240485,0.0560333336117502,0.880252389143182,1_month,cDC2
CCR6,-0.0768553150000002,1.5128105575,0.905428115586792,0.981520646471362,1_month,cDC2
ITGB1,0.10097785,4.475470975,0.419423966547955,0.881940636327484,1_month,cDC2
PRF1,-0.0676601100000001,0.44708587,0.865729475348735,0.975546063941306,1_month,cDC2
CXCR5,-0.385264,0.768913325,0.502415788150478,0.889486152227048,1_month,cDC2
LAG3,0.117853165,0.1578150825,0.645598936359825,0.920875798892628,1_month,cDC2
GZMB,0.59987235,5.541636925,0.180938677183267,0.880252389143182,1_month,cDC2
CD40LG,0.19651415,0.098257075,0.391002218955771,0.880252389143182,1_month,cDC2
CXCR4,-0.0203771250000004,6.6893120375,0.678410097465689,0.958994707605856,1_month,Lymphocyte
CTLA4,0.357712075,3.5153253125,0.130019960116353,0.947888740027352,1_month,Lymphocyte
PDCD1,-0.3014341375,0.50638071875,0.372606144010013,0.947888740027352,1_month,Lymphocyte
CCR4,0.643881525,1.2674855375,0.195840369085846,0.947888740027352,1_month,Lymphocyte
TIGIT,-0.1461421,1.7694078,0.701024004675551,0.96528631942128,1_month,Lymphocyte
GZMK,-1.7218415925,1.38756430375,0.10199527029847,0.947888740027352,1_month,Lymphocyte
GZMA,-1.033480265,1.0477341675,0.117119701401544,0.947888740027352,1_month,Lymphocyte
HAVCR2,0.237089425,1.3705198875,0.068499900020282,0.947888740027352,1_month,Lymphocyte
CCR6,-0.50291775,1.5225936,0.571835454693974,0.949591901212267,1_month,Lymphocyte
ITGB1,0.000421950000000226,3.694330975,0.999095369743453,0.999880436538853,1_month,Lymphocyte
PRF1,0.13996075,1.5932791,0.625619786851701,0.953993290180446,1_month,Lymphocyte
CXCR5,0.03030775,1.836082225,0.944542265560004,0.994204427411305,1_month,Lymphocyte
LAG3,-0.1191468825,1.15130960875,0.535151120429998,0.949122547365868,1_month,Lymphocyte
