gene,logFC,AveExpr,t,PValue,FDR,B,DE_status,timepoint,cell_type
CD40LG,0.369433730586817,3.93639526,2.46524019824921,0.0279267031185218,0.805534155738599,-3.78963505130531,NS,1_month,Memory CD4 T Cell
TNF,0.227234595076367,3.56477335333333,1.6806706950508,0.116009578034308,0.811892143381617,-4.30269469719507,NS,1_month,Memory CD4 T Cell
IFIT2,0.784393633822346,2.94561613333333,1.55492415545393,0.143292475543117,0.813692232334224,-4.3785799680514,NS,1_month,Memory CD4 T Cell
CXCR4,-0.129271501607717,7.06964326666667,-1.43142829477439,0.175249270885878,0.817789675672506,-4.45008747089004,NS,1_month,Memory CD4 T Cell
CCR6,-0.260757953677653,4.49855807333333,-1.4049436072239,0.182827389536226,0.819266830367236,-4.46498405718218,NS,1_month,Memory CD4 T Cell
PRF1,-0.241135827893891,2.33768848,-1.12311985265572,0.281135023854126,0.849426140447732,-4.61219680337144,NS,1_month,Memory CD4 T Cell
ITGB1,-0.13453040148714,5.7397592,-1.13230990362348,0.277388506771393,0.849426140447732,-4.60775618669005,NS,1_month,Memory CD4 T Cell
HAVCR2,-0.150876848532958,1.49938704,-1.06336124947681,0.306433361496899,0.854165321155988,-4.64041718920351,NS,1_month,Memory CD4 T Cell
CCR4,0.143845214971864,4.01582044,1.02927594391403,0.321597727836659,0.857419818832354,-4.65599077138746,NS,1_month,Memory CD4 T Cell
GZMB,0.122202666862942,0.449484991333333,0.940331154366085,0.363714844074833,0.864170407699,-4.69475465239382,NS,1_month,Memory CD4 T Cell
ISG15,-0.198039766137459,4.27890092,-0.833675918233985,0.419097966893262,0.878813348848349,-4.73746217512454,NS,1_month,Memory CD4 T Cell
CXCR5,-0.123717003376207,2.74249945333333,-0.680689498600574,0.507676774421691,0.904835136070322,-4.79098645211182,NS,1_month,Memory CD4 T Cell
TIGIT,-0.108439371221865,3.37790644666667,-0.581222583625435,0.570752222045219,0.926620240764398,-4.82056857846919,NS,1_month,Memory CD4 T Cell
PDCD1,-0.109281875622991,2.65852825333333,-0.551505087585247,0.590379433927569,0.931912290478602,-4.82857331700955,NS,1_month,Memory CD4 T Cell
CTLA4,0.0610547860530533,4.12533949333333,0.340041280988767,0.739104423365066,0.957407958560375,-4.87397455100309,NS,1_month,Memory CD4 T Cell
ALAS2,-0.0115120514891478,0.230766515333333,-0.0565333094526162,0.95575247609875,0.992933481328024,-4.90151895129348,NS,1_month,Memory CD4 T Cell
